===indolem/indobert-base-uncased===

Epoch	Training Loss	Validation Loss	Accuracy	F1	        Precision	Recall
1	1.109400	1.067693	0.423333	0.407255	0.422645	0.423333
2	1.050800	0.955409	0.593333	0.572752	0.609963	0.593333
3	0.895400	0.157199	0.981667	0.981665	0.981793	0.981667
4	0.027900	0.050245	0.991667	0.991671	0.991699	0.991667
5	0.024000	0.047703	0.993333	0.993333	0.993390	0.993333


===indobenchmark/indobert-base-p1===

Epoch	Training Loss	Validation Loss	Accuracy	F1	        Precision	Recall
1	1.080000	0.648165	0.880000	0.880287	0.882936	0.880000
2	0.104800	0.062956	0.980000	0.980054	0.980462	0.980000
3	0.041700	0.057665	0.986667	0.986661	0.986831	0.986667
4	0.029400	0.070039	0.983333	0.983331	0.983636	0.983333
5	0.026500	0.059211	0.990000	0.990000	0.990024	0.990000
